znamka,model,generacija,verzija,prvo leto proizvodnje,gorivo,poravnava motorja,prostornina motorja,moč motorja,prisilno polnenje motorja,pospesevanje,max hitrost,navor,emisije,poraba
Alfa Romeo,147,,5p 1.6 TS 105HP Moving,2010.0,Petrol,,1598.0,105.0,,11.3,185.0,140.0,192.0,8.1

Alfa Romeo,147,,5p 1.9 JTD 120HP Moving,2010.0,Diesel,,1910.0,120.0,,9.6,193.0,255.0,145.0,5.8

Alfa Romeo,147,,GTA,2003.0,Petrol,,3179.0,250.0,,6.3,246.0,300.0,287.0,12.1

Renault,15,,GTL Coupe Automatic,1975.0,Petrol,,1289.0,60.0,,,150.0,,,

Aston Martin,15 hp,,Drop-head Coupe,1937.0,Petrol,,1950.0,0.0,,,,,,

Aston Martin,15 hp,,Speed Model,1937.0,Petrol,,1950.0,0.0,,,157.0,,,

Renault,15,,TL Coupe,1975.0,Petrol,,1289.0,60.0,,,150.0,,,

Renault,15,,TS Coupe,1975.0,Petrol,,1565.0,91.0,,,170.0,,,

Alfa Romeo,155,,1.6 TS,1996.0,Petrol,,1598.0,120.0,,11.4,195.0,144.0,,7.4

Alfa Romeo,155,,1.7 TS,1994.0,Petrol,,1749.0,115.0,,10.6,191.0,146.0,,7.4

Alfa Romeo,155,,1.8 TS 16v,1996.0,Petrol,,1747.0,140.0,,10.0,205.0,165.0,,6.1

Alfa Romeo,155,,1.8 TS,1992.0,Petrol,,1773.0,129.0,,10.3,200.0,165.0,,6.7

Alfa Romeo,155,,2.0 16v TS,1996.0,Petrol,,1970.0,150.0,,9.0,208.0,186.0,,6.2

Alfa Romeo,155,,2.0 Q4,1992.0,Petrol,,1995.0,190.0,,7.0,225.0,297.0,,7.7

Alfa Romeo,155,,2.0 TD,1994.0,Diesel,,1929.0,92.0,,13.5,180.0,190.0,,5.1

Alfa Romeo,155,,2.0 TS,1992.0,Petrol,,1995.0,143.0,,9.3,205.0,189.0,,6.3

Alfa Romeo,155,,2.5 TD,1994.0,Diesel,,2500.0,125.0,,10.4,195.0,294.0,,7.8

Alfa Romeo,155,,2.5 V6,1992.0,Petrol,,2492.0,166.0,,8.4,215.0,216.0,,7.3

Alfa Romeo,156,156,1.6 TS,1997.0,Petrol,,158.0,120.0,,10.5,200.0,144.0,195.0,8.2

Alfa Romeo,156,156,1.8 TS,1997.0,Petrol,,1747.0,144.0,,9.3,210.0,169.0,202.0,8.0

Alfa Romeo,156,156,1.9 JTD 16v,2002.0,Diesel,,1910.0,140.0,,9.3,209.0,305.0,157.0,5.9

Alfa Romeo,156,156,1.9 JTD 8v,2002.0,Diesel,,1910.0,115.0,,10.3,191.0,275.0,,5.8

Alfa Romeo,156,156,1.9 JTD,1997.0,Diesel,,1910.0,105.0,,10.5,188.0,255.0,155.0,5.8

Alfa Romeo,156,156,2.0 JTS,2002.0,Petrol,,1970.0,165.0,,8.2,220.0,206.0,206.0,8.6

Alfa Romeo,156,156,2.0 TS,1997.0,Petrol,,1970.0,155.0,,8.6,216.0,187.0,203.0,8.5

Alfa Romeo,156,156,2.4 JTD 10v,2002.0,Diesel,,2387.0,150.0,,9.4,212.0,305.0,,6.7

